00s,10s,20s,30s,40s,50s,60s,70s,80s,90s,100s,N/A
0,1,3,5,4,5,5,2,3,0,0,7
0,1,3,5,4,5,5,2,3,0,0,7
0,2,4,6,6,5,5,2,3,0,0,7
0,3,4,6,6,4,4,2,4,0,0,7
0,3,4,6,6,4,4,2,4,0,0,7
1,4,6,12,10,9,7,5,4,0,0,7
1,4,12,16,10,13,9,7,4,0,0,7
1,5,13,19,13,18,10,10,5,0,0,7
1,5,14,21,15,19,11,13,6,0,0,7
1,6,18,25,20,22,17,14,6,0,0,7
1,6,18,25,20,22,17,14,6,0,0,63
1,6,18,25,20,22,17,14,6,0,0,81
1,6,18,25,20,22,17,14,6,0,0,110
1,6,18,25,20,22,17,14,6,0,0,154
1,6,18,25,20,22,17,14,6,0,0,189
1,6,18,25,20,22,17,14,6,0,0,236
1,6,18,25,20,22,17,14,6,0,0,276
1,6,18,25,20,22,17,14,6,0,0,276
1,6,18,25,20,22,17,14,6,0,0,420
1,6,18,25,20,22,17,14,6,0,0,501
1,6,18,25,20,22,17,14,7,0,0,557
1,6,18,25,20,22,17,14,7,0,0,666
1,6,18,25,20,22,17,14,7,0,0,739
1,6,18,25,20,22,17,14,7,0,0,863
1,6,18,25,20,22,17,14,7,0,0,863
1,6,18,25,20,22,17,14,7,0,0,863
1,6,18,25,20,22,17,14,7,0,0,1128
1,6,18,25,20,22,17,14,7,0,0,1235
