data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,245,14,8856,11,27,44,38,41,31,20,15,9,4,104,136
2020-07-11,03:00 PM,245,14,8856,11,27,44,38,41,31,20,15,9,4,104,136
2020-07-12,03:00 PM,247,14,8988,11,27,44,38,41,32,20,16,9,4,105,137
2020-07-13,03:00 PM,249,14,9060,11,27,44,39,41,32,21,16,9,4,106,138
2020-07-14,03:00 PM,251,14,9089,14,28,45,39,41,33,21,16,9,4,108,142
2020-07-15,03:00 PM,253,14,9121,15,28,45,39,41,34,21,16,9,4,108,110
2020-07-16,03:00 PM,256,14,9207,16,29,46,39,41,34,21,16,9,4,111,144
2020-07-17,03:00 PM,259,15,9253,16,29,49,39,41,34,21,16,9,4,111,147
2020-07-18,03:00 PM,259,15,9298,16,29,49,39,41,34,21,16,9,4,111,147
2020-07-19,03:00 PM,259,15,9466,16,29,49,39,41,34,21,16,9,4,111,147
2020-07-20,03:00 PM,262,15,9603,16,29,49,42,41,34,21,16,9,4,114,147
2020-07-21,03:00 PM,267,16,9748,16,29,50,43,41,36,21,17,9,4,117,149
2020-07-22,03:00 PM,271,17,9822,16,29,52,43,43,36,21,17,9,4,120,150
2020-07-23,03:00 PM,278,17,9960,16,29,53,48,43,36,22,17,9,4,123,154
2020-07-24,03:00 PM,283,17,9987,17,29,53,48,44,38,22,18,9,4,126,156
2020-07-25,03:00 PM,287,17,10172,17,31,53,48,45,39,22,18,9,4,128,158
2020-07-26,03:00 PM,292,17,10248,17,32,53,49,45,41,23,18,9,4,131,160
2020-07-27,03:00 PM,294,17,10335,17,32,54,49,45,41,23,18,9,4,132,160
2020-07-28,03:00 PM,302,17,10422,17,32,54,49,45,41,23,18,9,4,137,162
2020-07-29,03:00 PM,292,17,10919,17,33,52,44,48,41,24,18,9,4,126,164
2020-07-30,03:00 PM,306,17,11262,17,33,53,47,50,43,26,18,10,4,135,166
2020-07-31,03:00 PM,318,17,11356,19,34,55,50,50,46,28,18,10,4,142,172
2020-08-01,03:00 PM,331,17,11501,21,34,57,54,51,48,29,17,10,4,143,182
2020-08-02,03:00 PM,333,17,11647,22,34,57,54,52,49,29,17,10,4,145,183
2020-08-03,03:00 PM,336,17,11843,22,34,58,54,53,50,29,17,10,4,147,184
2020-08-04,03:00 PM,340,17,11980,22,35,59,54,54,50,30,17,10,4,149,186
2020-08-05,03:00 PM,345,17,12404,22,35,60,56,55,51,30,17,10,4,152,188
2020-08-06,03:00 PM,345,17,12566,22,36,60,54,55,51,30,17,10,4,152,187
