data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,1350,11,36792,87,164,314,205,210,165,109,46,22,6,622,706
2020-07-11,03:00 PM,1350,11,36792,87,164,314,205,210,165,109,46,22,6,622,706
2020-07-12,03:00 PM,1378,11,37446,88,169,322,211,214,168,112,46,22,6,640,718
2020-07-13,03:00 PM,1404,11,38104,88,174,331,219,218,172,114,47,23,6,653,739
2020-07-14,03:00 PM,1487,11,38681,100,181,356,231,224,186,120,47,23,6,689,785
2020-07-15,03:00 PM,1536,11,39077,106,184,368,236,230,191,124,50,26,7,689,717
2020-07-16,03:00 PM,1571,12,39465,107,186,377,242,240,194,126,52,26,7,736,821
2020-07-17,03:00 PM,1610,12,40076,110,189,386,244,243,198,134,54,27,7,750,842
2020-07-18,03:00 PM,1645,12,40614,109,195,393,248,253,201,136,58,28,6,760,867
2020-07-19,03:00 PM,1688,13,41485,114,199,404,254,258,205,140,61,28,7,784,886
2020-07-20,03:00 PM,1717,13,42908,117,209,409,256,262,207,143,61,28,7,795,904
2020-07-21,03:00 PM,1737,14,43406,118,212,413,259,266,211,145,61,29,7,802,919
2020-07-22,03:00 PM,1786,14,43774,125,219,426,268,271,214,147,63,29,7,831,938
2020-07-23,03:00 PM,1838,14,44404,126,220,440,274,284,217,150,65,31,12,858,961
2020-07-24,03:00 PM,1864,15,45614,128,222,451,275,288,219,153,68,31,12,871,976
2020-07-25,03:00 PM,1906,16,46383,133,227,463,281,292,224,153,68,31,13,890,995
2020-07-26,03:00 PM,1968,16,47072,138,240,476,291,298,233,157,68,32,14,911,1036
2020-07-27,03:00 PM,1990,16,47795,141,246,480,294,300,236,160,70,32,14,922,1051
2020-07-28,03:00 PM,2064,17,48517,141,246,480,294,300,236,160,70,32,14,951,1089
2020-07-29,03:00 PM,2082,19,49168,145,261,507,304,309,249,169,71,32,14,957,1104
2020-07-30,03:00 PM,2118,19,49897,147,267,512,310,314,256,170,72,33,14,969,1126
2020-07-31,03:00 PM,2139,19,50313,150,269,519,311,319,259,170,73,34,13,977,1140
2020-08-01,03:00 PM,2171,21,51117,152,277,524,315,321,262,171,74,34,13,990,1153
