data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,1,0,37,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-11,03:00 PM,1,0,37,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-12,03:00 PM,1,0,40,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-13,03:00 PM,1,0,37,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-14,03:00 PM,1,0,39,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-15,03:00 PM,1,0,39,0,0,0,0,0,0,0,1,0,0,0,0
2020-07-16,03:00 PM,1,0,39,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-17,03:00 PM,1,0,39,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-18,03:00 PM,1,0,39,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-19,03:00 PM,1,0,39,0,0,0,0,0,0,0,1,0,0,0,1
2020-07-20,03:00 PM,1,0,40,0,0,0,0,0,0,0,1,0,0,0,1
