data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,115,3,4584,9,14,22,22,14,23,6,4,1,0,66,49
2020-07-11,03:00 PM,115,3,4584,9,14,22,22,14,23,6,4,1,0,66,49
2020-07-12,03:00 PM,122,3,4693,11,16,22,23,14,25,6,4,1,0,69,53
2020-07-13,03:00 PM,122,3,4749,11,16,22,23,14,25,6,4,1,0,69,53
2020-07-14,03:00 PM,128,3,4840,12,16,24,23,16,25,7,4,1,0,74,54
2020-07-15,03:00 PM,132,3,4856,11,17,24,24,18,25,7,4,1,0,74,76
2020-07-16,03:00 PM,133,3,4870,11,17,24,25,18,25,7,4,1,0,76,56
2020-07-17,03:00 PM,135,3,4900,11,17,25,25,19,25,7,4,1,0,77,57
2020-07-18,03:00 PM,140,3,4911,11,17,26,27,18,25,7,4,1,0,77,59
2020-07-19,03:00 PM,144,3,4928,11,17,27,28,18,25,7,5,1,0,78,61
2020-07-20,03:00 PM,145,3,4986,11,17,28,28,18,25,7,5,1,0,78,62
2020-07-21,03:00 PM,155,3,5154,11,17,31,29,21,25,8,6,1,0,84,65
2020-07-22,03:00 PM,165,3,5533,13,17,33,31,22,27,9,6,1,0,91,68
