data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,72,8,6028,2,9,9,12,9,13,10,5,2,0,35,36
2020-07-11,03:00 PM,72,8,6028,2,9,9,12,9,13,10,5,2,0,35,36
2020-07-12,03:00 PM,73,9,6142,2,9,9,12,9,13,10,5,2,1,36,36
2020-07-13,03:00 PM,77,9,6198,4,9,11,12,9,13,10,5,2,1,38,38
2020-07-14,03:00 PM,79,9,6241,4,10,11,12,9,13,10,5,2,1,39,38
2020-07-15,03:00 PM,83,9,6311,4,10,11,13,10,15,10,5,2,1,39,40
2020-07-16,03:00 PM,84,9,6410,4,10,11,15,10,15,10,5,2,1,41,42
2020-07-17,03:00 PM,89,9,6538,5,10,11,16,10,16,10,5,4,1,45,43
2020-07-18,03:00 PM,96,9,6691,6,11,11,18,10,16,11,7,4,1,50,45
2020-07-19,03:00 PM,100,10,6842,6,13,11,19,10,16,11,7,4,1,50,48
2020-07-20,03:00 PM,102,10,6936,7,13,12,19,10,16,11,7,4,1,50,50
2020-07-21,03:00 PM,106,10,7063,7,15,12,19,11,17,11,7,4,1,50,54
2020-07-22,03:00 PM,113,10,7114,8,16,13,19,14,17,12,7,4,1,54,57
2020-07-23,03:00 PM,120,10,7160,8,16,13,19,15,20,13,9,4,1,57,61
2020-07-24,03:00 PM,127,10,7318,8,17,14,20,15,23,13,10,4,1,62,63
2020-07-25,03:00 PM,137,10,7514,8,17,16,21,18,27,14,10,4,1,67,69
2020-07-26,03:00 PM,142,10,7591,8,17,18,22,20,27,14,10,4,1,71,70
2020-07-27,03:00 PM,147,10,7661,9,17,19,25,20,27,14,10,4,1,71,75
2020-07-28,03:00 PM,168,10,7731,9,17,19,25,20,27,14,10,4,1,77,89
2020-07-29,03:00 PM,174,10,7833,10,24,24,28,22,31,16,12,4,1,80,92
2020-07-30,03:00 PM,176,10,7915,10,24,24,28,22,32,16,13,4,1,81,93
2020-07-31,03:00 PM,178,10,8177,10,26,24,28,23,32,16,13,4,1,82,95
2020-08-01,03:00 PM,182,10,8469,10,27,25,28,24,32,16,13,4,1,82,98
2020-08-02,03:00 PM,183,10,8558,10,27,25,29,24,32,16,13,4,1,82,99
2020-08-03,03:00 PM,184,10,8671,10,27,26,29,24,32,16,13,4,1,82,100
2020-08-04,03:00 PM,188,10,8764,11,28,25,29,26,33,16,13,4,1,84,102
2020-08-05,03:00 PM,193,10,8958,11,29,25,29,28,35,16,13,4,1,86,105
2020-08-06,03:00 PM,195,10,9085,11,29,25,29,29,36,16,13,4,1,86,107
2020-08-07,03:00 PM,197,10,9256,11,29,26,29,29,36,16,13,4,1,86,108
2020-08-08,03:00 PM,199,10,9404,11,30,27,29,30,36,16,13,4,1,88,109
2020-08-09,03:00 PM,201,10,9527,11,30,27,29,30,36,16,13,4,1,88,109
2020-08-10,03:00 PM,201,10,9643,11,30,27,29,30,36,16,13,4,1,88,109
2020-08-11,03:00 PM,203,10,9794,11,30,28,29,30,36,17,13,4,1,88,111
2020-08-12,03:00 PM,203,10,9916,11,30,28,29,30,36,17,13,4,1,88,111
2020-08-13,03:00 PM,204,10,9948,11,30,28,30,30,36,17,13,4,1,88,112
2020-08-14,03:00 PM,204,10,10045,11,30,28,30,30,36,17,13,4,1,88,112
2020-08-15,03:00 PM,204,10,10142,11,30,28,30,30,37,17,13,4,1,89,112
2020-08-16,03:00 PM,207,10,10271,11,30,28,30,30,38,17,13,4,1,89,113
2020-08-17,03:00 PM,209,10,10372,11,30,28,31,31,38,17,13,4,1,90,114
2020-08-18,03:00 PM,209,11,10478,11,30,28,31,31,38,17,13,4,1,90,114
2020-08-19,03:00 PM,211,11,10560,11,31,28,31,31,38,17,13,4,1,91,114
2020-08-20,03:00 PM,211,11,10639,11,31,28,31,31,38,17,13,4,1,91,114
2020-08-21,03:00 PM,212,11,10720,11,31,28,32,31,38,17,13,4,1,92,114
2020-08-22,03:00 PM,213,11,11095,11,32,28,32,32,38,17,13,4,1,94,114
2020-08-24,03:00 PM,215,11,11362,11,32,28,33,33,38,17,13,4,1,94,116
2020-08-25,03:00 PM,216,11,11410,11,32,28,33,33,38,18,13,4,1,95,116
2020-08-26,03:00 PM,217,11,11494,11,32,28,34,33,38,18,13,4,1,95,117
2020-08-27,03:00 PM,218,11,11522,11,32,28,35,33,38,18,13,4,1,96,117
2020-08-28,03:00 PM,218,11,11590,11,32,28,34,33,38,18,13,4,1,95,117
2020-08-29,03:00 PM,218,12,11756,11,32,28,34,33,39,18,13,4,1,95,118
2020-08-30,03:00 PM,218,12,11956,11,32,28,34,33,39,18,13,4,1,95,118
