data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,12,1,684,0,1,4,0,2,2,0,3,0,0,7,5
2020-07-11,03:00 PM,12,1,684,0,1,4,0,2,2,0,3,0,0,7,5
2020-07-12,03:00 PM,14,1,705,0,3,4,0,2,2,0,3,0,0,8,6
2020-07-13,03:00 PM,16,1,736,0,3,4,0,3,3,0,3,0,0,9,7
2020-07-14,03:00 PM,16,1,752,0,3,4,0,3,3,0,3,0,0,9,7
2020-07-15,03:00 PM,17,1,754,0,3,4,1,3,3,0,3,0,0,9,9
2020-07-16,03:00 PM,19,1,791,0,4,4,1,3,3,0,4,0,0,11,8
2020-07-17,03:00 PM,19,1,798,0,4,4,1,3,3,0,4,0,0,11,8
2020-07-18,03:00 PM,22,1,859,0,6,4,2,3,3,0,4,0,0,12,10
2020-07-19,03:00 PM,22,1,881,0,6,4,2,3,3,0,4,0,0,12,10
2020-07-20,03:00 PM,22,1,898,0,6,4,2,3,3,0,4,0,0,12,10
2020-07-21,03:00 PM,24,1,964,0,6,5,2,4,3,0,4,0,0,13,11
2020-07-22,03:00 PM,26,1,991,1,6,5,3,4,3,0,4,0,0,14,12
2020-07-23,03:00 PM,28,1,1019,2,6,5,3,5,3,0,4,0,0,16,12
2020-07-24,03:00 PM,28,1,1025,2,6,5,3,5,3,0,4,0,0,16,12
2020-07-25,03:00 PM,28,1,1028,2,6,5,3,5,3,0,4,0,0,16,12
2020-07-26,03:00 PM,30,1,1042,2,6,5,4,5,3,1,4,0,0,16,14
2020-07-27,03:00 PM,31,1,1086,2,7,5,4,5,3,1,4,0,0,17,14
2020-07-28,03:00 PM,31,1,1130,2,7,5,4,5,3,1,4,0,0,17,14
2020-07-29,03:00 PM,31,1,1180,2,7,5,4,5,3,1,4,0,0,17,14
2020-07-30,03:00 PM,31,1,1200,2,7,5,4,5,3,1,4,0,0,17,14
2020-07-31,03:00 PM,31,1,1205,2,7,5,4,5,3,1,4,0,0,17,14
2020-08-01,03:00 PM,31,1,1211,2,7,5,4,5,3,1,4,0,0,17,14
2020-08-02,03:00 PM,31,1,1223,2,7,5,4,5,3,1,4,0,0,17,14
2020-08-03,03:00 PM,32,1,1247,2,7,5,4,5,3,1,5,0,0,18,14
2020-08-04,03:00 PM,33,1,1248,2,7,5,5,5,3,1,5,0,0,19,14
2020-08-05,03:00 PM,34,1,1262,2,7,5,5,5,3,1,6,0,0,19,15
2020-08-06,03:00 PM,34,1,1278,2,7,5,5,5,3,1,6,0,0,19,15
2020-08-07,03:00 PM,34,1,1290,2,7,5,5,5,3,1,6,0,0,19,15
2020-08-08,03:00 PM,34,1,1298,2,7,5,5,5,3,1,6,0,0,19,15
2020-08-09,03:00 PM,34,1,1305,2,7,5,5,5,3,1,6,0,0,19,15
2020-08-10,03:00 PM,34,1,1325,2,7,5,5,5,3,1,6,0,0,19,15
2020-08-11,03:00 PM,34,1,1334,2,7,5,5,5,3,1,6,0,0,19,15
2020-08-12,03:00 PM,34,1,1341,2,7,5,5,5,3,1,6,0,0,19,15
2020-08-13,03:00 PM,37,1,1355,2,7,5,5,5,3,3,6,1,0,21,16
2020-08-14,03:00 PM,41,1,1368,2,7,5,5,5,5,3,7,2,0,23,18
2020-08-15,03:00 PM,44,1,1385,2,7,5,5,5,5,3,8,4,0,25,19
2020-08-16,03:00 PM,47,1,1404,2,8,5,6,6,5,3,8,4,0,27,20
2020-08-17,03:00 PM,50,1,1427,2,8,7,7,6,5,3,9,4,0,28,23
2020-08-18,03:00 PM,50,1,1441,2,8,7,7,6,5,3,9,4,0,28,23
2020-08-19,03:00 PM,51,1,1455,2,8,7,7,6,5,3,10,4,0,29,23
2020-08-20,03:00 PM,51,1,1463,2,8,7,7,6,5,3,10,4,0,29,23
2020-08-21,03:00 PM,58,1,1470,2,8,7,7,6,7,5,12,5,0,32,27
2020-08-22,03:00 PM,60,1,1517,2,8,7,7,7,7,5,12,6,0,33,28
2020-08-24,03:00 PM,60,1,1540,2,8,7,7,7,7,5,12,6,0,33,28
2020-08-25,03:00 PM,60,1,1541,2,8,7,7,7,7,5,12,6,0,33,28
2020-08-26,03:00 PM,60,1,1545,2,8,7,7,7,7,5,12,6,0,33,28
2020-08-27,03:00 PM,60,1,1558,2,8,7,7,7,7,5,12,6,0,33,28
2020-08-28,03:00 PM,60,1,1568,2,8,7,7,7,7,5,12,6,0,33,28
2020-08-29,03:00 PM,60,2,1586,2,8,7,7,7,7,5,12,6,0,33,28
2020-08-30,03:00 PM,62,2,1598,2,8,8,7,8,7,5,12,6,0,34,29
