data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,136,1,8114,5,5,20,19,31,15,25,11,4,0,66,69
2020-07-11,03:00 PM,136,1,8114,5,5,20,19,31,15,25,11,4,0,66,69
2020-07-12,03:00 PM,137,1,8212,5,5,20,19,31,15,25,12,4,0,66,70
2020-07-13,03:00 PM,139,1,8307,5,5,20,20,31,16,25,12,4,0,67,71
2020-07-14,03:00 PM,139,1,8394,5,5,20,20,31,16,25,12,4,0,67,71
2020-07-15,03:00 PM,140,1,8444,5,5,20,20,31,16,26,12,4,0,67,67
2020-07-16,03:00 PM,147,1,8532,5,6,22,20,31,18,27,12,4,0,72,73
2020-07-17,03:00 PM,156,1,8618,5,7,23,21,32,21,27,14,4,0,76,78
2020-07-18,03:00 PM,193,1,8722,8,11,29,26,44,27,28,14,4,0,93,98
2020-07-19,03:00 PM,195,1,8883,8,11,29,26,45,27,29,14,4,0,93,100
2020-07-20,03:00 PM,199,1,8986,8,12,29,27,46,27,30,14,4,0,96,101
2020-07-21,03:00 PM,205,1,9227,8,13,31,27,46,29,30,15,4,0,99,104
2020-07-22,03:00 PM,251,1,9400,14,17,35,37,56,35,35,16,4,0,118,131
2020-07-23,03:00 PM,256,1,11032,14,17,37,39,57,35,35,16,4,0,120,134
2020-07-24,03:00 PM,261,1,11205,14,17,38,40,58,36,35,17,4,0,122,137
2020-07-25,03:00 PM,267,1,11311,14,17,40,41,59,37,36,17,4,0,123,142
2020-07-26,03:00 PM,271,2,11387,14,17,41,42,61,37,36,18,4,0,128,142
2020-07-27,03:00 PM,275,3,11511,14,18,41,43,61,38,36,18,4,0,129,144
2020-07-28,03:00 PM,280,3,11635,14,18,41,43,61,38,36,18,4,0,132,147
2020-07-29,03:00 PM,281,3,11698,16,20,43,43,61,39,36,18,4,0,132,148
2020-07-30,03:00 PM,285,4,11750,16,20,45,44,61,39,37,18,4,0,135,149
2020-07-31,03:00 PM,292,4,11945,16,20,46,46,64,40,37,18,4,0,139,152
2020-08-01,03:00 PM,293,4,12009,16,20,47,46,64,40,37,18,4,0,139,153
2020-08-02,03:00 PM,294,4,12182,16,20,48,46,64,40,37,18,4,0,140,153
2020-08-03,03:00 PM,294,5,12344,16,20,48,46,64,40,37,18,4,0,140,153
