data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,78,1,2902,4,16,14,7,11,11,11,3,0,1,36,42
2020-07-11,03:00 PM,78,1,2902,4,16,14,7,11,11,11,3,0,1,36,42
2020-07-12,03:00 PM,78,1,2915,4,16,14,7,11,11,11,3,0,1,36,42
2020-07-13,03:00 PM,79,1,2999,4,16,15,7,11,11,11,3,0,1,37,42
2020-07-14,03:00 PM,79,1,3019,4,16,15,7,11,11,11,3,0,1,37,42
2020-07-15,03:00 PM,81,1,3045,4,16,16,7,12,11,11,3,0,1,37,39
2020-07-16,03:00 PM,83,1,3094,4,16,16,8,13,11,11,3,0,1,40,43
2020-07-17,03:00 PM,83,1,3120,4,16,16,8,13,11,11,3,0,1,40,43
2020-07-18,03:00 PM,84,1,3172,4,17,16,8,13,11,11,3,0,1,41,43
2020-07-19,03:00 PM,86,1,3223,4,18,17,8,13,11,11,3,0,1,42,44
2020-07-20,03:00 PM,89,1,3273,4,18,19,8,14,11,11,3,0,1,43,46
