data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,322,3,24643,21,28,49,55,62,45,28,15,11,4,158,160
2020-07-11,03:00 PM,322,3,24643,21,28,49,55,62,45,28,15,11,4,158,160
2020-07-12,03:00 PM,328,3,25186,21,29,50,56,62,47,29,15,11,4,160,164
2020-07-13,03:00 PM,337,3,25854,21,31,52,58,65,47,29,15,11,4,162,171
2020-07-14,03:00 PM,341,3,26064,21,32,53,58,64,47,29,16,11,4,163,172
2020-07-15,03:00 PM,352,3,26264,21,32,55,60,69,49,30,16,11,4,163,171
2020-07-16,03:00 PM,380,3,26960,21,33,61,63,74,59,30,17,13,4,181,194
2020-07-17,03:00 PM,389,3,26998,21,36,62,65,74,62,30,17,13,4,188,196
2020-07-18,03:00 PM,396,3,27631,21,38,62,67,75,62,32,17,13,4,192,199
2020-07-19,03:00 PM,407,3,28237,22,39,63,68,77,66,32,17,13,4,198,203
2020-07-20,03:00 PM,417,3,28721,22,40,66,70,78,66,34,17,13,4,202,208
2020-07-21,03:00 PM,433,3,29435,23,42,68,72,82,70,34,17,13,4,215,210
2020-07-22,03:00 PM,436,3,29734,23,42,69,72,85,71,34,17,13,4,217,213
2020-07-23,03:00 PM,456,3,30026,25,46,70,77,88,72,36,18,13,4,226,223
2020-07-24,03:00 PM,462,3,30486,25,46,71,77,91,72,38,18,13,4,227,228
2020-07-25,03:00 PM,474,3,30865,27,46,71,79,95,74,40,18,13,5,232,236
2020-07-26,03:00 PM,482,3,31386,27,46,74,80,96,77,40,19,13,5,235,242
2020-07-27,03:00 PM,497,3,31853,28,48,77,83,97,78,42,20,14,5,243,249
2020-07-28,03:00 PM,510,3,32307,28,48,77,83,97,78,42,20,14,5,244,258
