data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,51,1,6206,2,4,7,11,5,6,9,3,1,1,23,26
2020-07-11,03:00 PM,51,1,6206,2,4,7,11,5,6,9,3,1,1,23,26
2020-07-12,03:00 PM,52,1,6267,2,4,7,11,5,7,9,3,1,1,24,26
2020-07-13,03:00 PM,53,1,6345,2,4,7,11,6,7,9,3,1,1,25,26
2020-07-14,03:00 PM,57,1,6366,2,4,8,12,8,7,9,3,1,1,26,29
2020-07-15,03:00 PM,59,1,6481,2,4,10,12,8,7,9,3,1,1,26,26
2020-07-16,03:00 PM,61,1,6520,2,4,12,12,8,7,9,3,1,1,28,31
2020-07-17,03:00 PM,65,1,6582,2,5,13,12,10,7,9,3,1,1,30,33
2020-07-18,03:00 PM,69,1,6791,2,5,13,13,11,9,9,3,1,1,32,35
2020-07-19,03:00 PM,69,1,6924,2,5,13,13,11,9,9,3,1,1,32,35
2020-07-20,03:00 PM,69,1,7015,2,5,13,13,11,9,9,3,1,1,32,35
2020-07-21,03:00 PM,71,1,7124,2,6,13,14,11,9,9,3,1,1,32,37
