data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,47,1,1528,0,1,15,11,4,3,9,2,2,0,32,15
2020-07-11,03:00 PM,47,1,1528,0,1,15,11,4,3,9,2,2,0,32,15
2020-07-12,03:00 PM,47,1,1545,0,1,15,11,4,3,9,2,2,0,32,15
2020-07-13,03:00 PM,49,1,1647,0,1,15,12,4,4,9,2,2,0,33,16
2020-07-14,03:00 PM,49,1,1655,0,1,15,12,4,4,9,2,2,0,33,16
2020-07-15,03:00 PM,49,1,1662,0,1,15,12,4,4,9,2,2,0,33,33
2020-07-16,03:00 PM,49,1,1678,0,1,15,12,4,4,9,2,2,0,33,16
2020-07-17,03:00 PM,49,1,1769,0,1,15,12,4,4,9,2,2,0,33,16
2020-07-18,03:00 PM,49,1,1791,0,1,15,12,4,4,9,2,2,0,33,16
2020-07-19,03:00 PM,50,1,1831,0,1,15,13,4,4,9,2,2,0,33,17
2020-07-20,03:00 PM,51,1,1873,0,1,15,13,4,4,10,2,2,0,34,17
2020-07-21,03:00 PM,51,1,1893,0,1,15,13,4,4,10,2,2,0,34,17
2020-07-22,03:00 PM,51,1,1904,0,1,15,13,4,4,10,2,2,0,34,17
2020-07-23,03:00 PM,51,1,1919,0,1,15,13,4,4,10,2,2,0,34,17
2020-07-24,03:00 PM,52,1,1929,0,1,15,13,4,5,10,2,2,0,35,17
2020-07-25,03:00 PM,52,1,1949,0,1,15,13,4,5,10,2,2,0,35,17
2020-07-26,03:00 PM,52,1,1991,0,1,15,13,4,5,10,2,2,0,35,17
2020-07-27,03:00 PM,52,1,2001,0,1,15,13,4,5,10,2,2,0,35,17
2020-07-28,03:00 PM,56,1,2010,0,1,15,13,4,5,10,2,2,0,38,18
2020-07-29,03:00 PM,58,1,2040,0,1,17,14,6,6,10,2,2,0,38,20
2020-07-30,03:00 PM,59,1,2056,0,1,18,14,6,6,10,2,2,0,38,21
2020-07-31,03:00 PM,59,1,2077,0,1,18,14,6,6,10,2,2,0,38,21
2020-08-01,03:00 PM,59,1,2101,0,1,18,14,6,6,10,2,2,0,38,21
2020-08-02,03:00 PM,59,1,2120,0,1,18,14,6,6,10,2,2,0,38,21
2020-08-03,03:00 PM,60,1,2139,0,1,18,15,6,6,10,2,2,0,38,22
2020-08-04,03:00 PM,60,1,2143,0,1,18,15,6,6,10,2,2,0,38,22
2020-08-05,03:00 PM,60,1,2193,0,1,18,15,6,6,10,2,2,0,39,21
2020-08-06,03:00 PM,60,1,2208,0,1,18,15,6,6,10,2,2,0,39,21
2020-08-07,03:00 PM,61,1,2217,0,1,18,15,6,6,11,2,2,0,40,21
2020-08-08,03:00 PM,61,1,2258,0,1,18,15,6,6,11,2,2,0,40,21
2020-08-09,03:00 PM,61,1,2279,0,1,18,15,6,6,11,2,2,0,40,21
2020-08-10,03:00 PM,61,1,2336,0,1,18,15,6,6,11,2,2,0,40,21
2020-08-11,03:00 PM,61,1,2350,0,1,18,15,6,6,11,2,2,0,40,21
2020-08-12,03:00 PM,61,1,2368,0,1,18,15,6,6,11,2,2,0,40,21
2020-08-13,03:00 PM,61,1,2392,0,1,18,15,6,6,11,2,2,0,40,21
2020-08-14,03:00 PM,62,1,2407,0,1,18,15,6,6,12,2,2,0,40,22
2020-08-15,03:00 PM,62,1,2442,0,1,18,15,6,6,12,2,2,0,40,22
2020-08-16,03:00 PM,63,1,2456,0,1,18,15,6,7,12,2,2,0,40,23
2020-08-17,03:00 PM,63,1,2472,0,1,18,15,6,7,12,2,2,0,40,23
2020-08-18,03:00 PM,63,1,2481,0,1,18,15,6,7,12,2,2,0,40,23
2020-08-19,03:00 PM,63,1,2493,0,1,18,15,6,7,12,2,2,0,40,23
2020-08-20,03:00 PM,63,1,2514,0,1,18,15,6,7,12,2,2,0,40,23
2020-08-21,03:00 PM,63,1,2527,0,1,18,15,6,7,12,2,2,0,40,23
2020-08-22,03:00 PM,63,1,2556,0,1,18,15,6,7,12,2,2,0,40,23
2020-08-24,03:00 PM,63,1,2582,0,1,18,15,6,7,12,2,2,0,39,23
2020-08-25,03:00 PM,63,1,2590,0,1,18,15,6,7,12,2,2,0,39,23
2020-08-26,03:00 PM,63,1,2603,0,1,18,15,6,7,12,2,2,0,39,23
2020-08-27,03:00 PM,63,1,2629,0,1,18,15,6,7,12,2,2,0,39,23
2020-08-28,03:00 PM,63,1,2645,0,1,18,15,6,7,12,2,2,0,39,23
2020-08-29,03:00 PM,63,1,2675,0,1,18,15,6,7,12,2,2,0,39,23
2020-08-30,03:00 PM,63,1,2692,0,1,18,15,6,7,12,2,2,0,39,23
2020-08-31,03:00 PM,63,1,2705,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-01,03:00 PM,63,1,2738,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-02,03:00 PM,63,1,2764,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-03,03:00 PM,63,1,2809,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-04,03:00 PM,63,1,2823,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-05,03:00 PM,63,1,2840,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-06,03:00 PM,63,1,2849,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-07,03:00 PM,63,1,2855,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-08,03:00 PM,63,1,2866,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-09,03:00 PM,63,1,2882,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-10,03:00 PM,63,1,2897,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-11,03:00 PM,63,1,2915,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-12,03:00 PM,63,1,2942,0,1,18,15,6,7,12,2,2,0,39,23
2020-09-13,03:00 PM,63,1,2951,0,1,19,15,6,7,12,2,2,0,40,23
2020-09-14,03:00 PM,64,1,2981,0,1,19,15,6,7,12,2,2,0,40,23
