data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,8,0,666,0,0,2,1,0,1,1,2,1,0,6,2
2020-07-11,03:00 PM,8,0,666,0,0,2,1,0,1,1,2,1,0,6,2
2020-07-12,03:00 PM,8,0,752,0,0,2,1,0,1,1,2,1,0,6,2
2020-07-13,03:00 PM,8,0,710,0,0,2,1,0,1,1,2,1,0,6,2
2020-07-14,03:00 PM,8,0,711,0,0,2,1,0,1,1,2,1,0,6,2
2020-07-15,03:00 PM,14,0,723,0,0,2,2,0,1,2,2,2,0,6,9
2020-07-16,03:00 PM,14,0,727,0,0,2,3,0,1,2,2,2,0,10,2
2020-07-17,03:00 PM,14,0,741,0,0,2,3,0,1,2,2,2,0,10,2
2020-07-18,03:00 PM,14,0,774,0,0,2,3,0,1,2,2,2,0,10,2
2020-07-19,03:00 PM,14,0,817,0,0,2,3,0,1,2,2,2,0,10,2
2020-07-20,03:00 PM,14,0,819,0,0,2,3,1,1,2,2,2,0,10,3
2020-07-21,03:00 PM,14,0,828,0,0,2,3,1,1,2,2,2,0,10,3
2020-07-22,03:00 PM,14,0,829,0,0,2,3,1,1,2,2,2,0,10,3
2020-07-23,03:00 PM,14,0,830,0,0,2,3,1,1,2,2,2,0,10,3
2020-07-24,03:00 PM,17,0,932,0,0,2,4,1,1,2,2,3,1,13,3
2020-07-25,03:00 PM,21,0,950,1,1,2,6,1,1,2,2,3,1,15,5
2020-07-26,03:00 PM,21,0,957,1,1,2,6,1,1,2,2,3,1,15,5
2020-07-27,03:00 PM,23,0,966,1,3,2,6,1,1,2,2,3,1,17,5
2020-07-28,03:00 PM,23,0,975,1,3,2,6,1,1,2,2,3,1,17,5
2020-07-29,03:00 PM,24,0,977,1,3,2,6,1,2,2,2,3,1,17,6
2020-07-30,03:00 PM,24,0,993,1,3,2,6,1,2,2,2,3,1,17,6
2020-07-31,03:00 PM,25,0,993,1,3,3,6,1,2,2,2,3,1,18,6
2020-08-01,03:00 PM,25,0,1008,1,3,3,6,1,2,2,2,3,1,18,6
2020-08-02,03:00 PM,27,0,1056,1,3,3,6,1,2,2,4,3,1,19,7
2020-08-03,03:00 PM,27,0,1059,1,3,3,6,1,2,2,4,3,1,19,7
2020-08-04,03:00 PM,27,0,1059,1,3,3,6,1,2,2,4,3,1,19,7
2020-08-05,03:00 PM,28,0,1065,1,3,3,6,1,2,3,4,3,1,20,7
2020-08-06,03:00 PM,28,2,1065,1,3,3,6,1,2,3,4,3,1,20,7
2020-08-07,03:00 PM,28,2,1067,1,3,3,6,1,2,3,4,3,1,20,7
2020-08-08,03:00 PM,29,2,1075,1,3,3,6,1,2,3,4,3,1,20,7
2020-08-09,03:00 PM,29,2,1123,1,3,3,6,1,2,3,4,3,1,20,7
