Bernalillo,Catron,Chaves,Cibola,Colfax,Curry,De Baca,Doña Ana,Eddy,Grant,Guadalupe,Harding,Hidalgo,Lea,Lincoln,Los Alamos,Luna,McKinley,Mora,Otero,Quay,Rio Arriba,Roosevelt,San Juan,San Miguel,Sandoval,Santa Fe,Sierra,Socorro,Taos,Torrance,Union,Valencia
0 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,2,1,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,2,1,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,0,2,1,0,0,0
23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,7,0,2,2,0,0,0
23,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,7,0,2,2,0,0,0
32,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,7,8,0,2,3,0,0,0
34,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,1,7,10,0,2,3,0,0,0
38,0,4,0,0,0,0,10,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,3,1,7,12,0,2,3,0,0,0
43,0,4,1,0,1,0,13,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,7,1,7,14,0,2,3,0,0,0
48,0,3,1,0,1,0,13,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,8,1,8,17,0,2,3,0,0,0
55,0,4,1,0,1,0,16,1,0,0,0,0,1,0,0,0,3,0,0,0,2,0,14,1,10,22,0,2,3,0,0,0
82,0,4,2,0,1,0,16,2,0,0,0,0,2,0,0,0,5,0,0,0,3,1,17,1,15,29,0,2,8,0,0,1
92,0,7,2,0,1,0,17,3,0,0,0,0,2,0,0,0,5,0,0,0,2,1,18,1,15,30,0,2,9,0,0,1
101,0,8,2,0,3,0,17,4,0,0,0,0,2,0,0,0,9,0,0,0,2,1,22,1,18,34,0,2,9,0,0,2
117,0,10,2,0,3,0,18,4,0,0,0,0,2,0,0,0,12,0,0,0,3,1,27,1,22,38,0,3,10,3,0,5
129,0,10,2,0,3,0,18,4,0,0,0,0,2,0,0,0,16,0,0,0,4,1,27,1,29,42,0,3,11,3,0,5
148,0,10,4,0,5,0,18,4,1,0,0,0,2,0,0,0,20,0,1,0,4,1,37,1,32,48,0,3,12,3,0,5
163,1,13,5,0,6,0,21,4,1,0,0,0,2,0,0,0,24,0,2,0,5,1,41,1,40,48,0,4,13,3,0,5
163,1,13,5,0,6,0,21,4,1,0,0,0,2,0,0,0,24,0,2,0,5,1,41,1,40,48,0,4,13,3,0,5
225,1,13,12,0,6,0,23,4,1,0,0,0,2,1,1,0,31,0,2,0,6,1,58,1,69,58,0,4,13,6,0,5
246,1,13,14,0,6,0,29,4,1,0,0,0,2,1,2,0,40,0,3,0,6,1,58,1,103,62,0,5,13,6,0,7
262,1,14,14,0,6,0,30,4,3,0,0,0,2,1,2,0,44,0,3,0,6,1,83,1,114,64,0,5,13,6,0,7
307,1,15,15,0,8,0,35,4,4,0,0,0,2,1,2,0,55,0,3,0,6,1,107,1,128,66,0,5,14,7,0,7
325,1,16,16,0,8,0,39,6,4,0,0,0,2,1,2,0,70,0,3,0,7,1,116,1,143,68,0,7,14,7,0,8
369,1,18,21,1,9,0,44,6,4,0,0,0,2,1,2,0,84,0,3,0,7,1,126,1,174,70,0,9,15,8,0,11
407,1,18,24,1,9,0,44,6,7,0,0,1,2,1,4,2,113,0,3,0,7,1,142,1,177,72,0,10,15,9,0,14
407,1,18,24,1,9,0,44,6,7,0,0,1,2,1,4,2,113,0,3,0,7,1,142,1,177,72,0,10,15,9,0,14
440,1,19,25,1,10,0,49,7,9,0,0,1,2,1,5,2,144,0,4,1,7,1,151,1,235,75,0,12,15,10,0,18
455,1,19,25,2,10,0,50,7,10,0,0,0,2,1,5,2,191,0,3,1,7,1,173,1,244,76,0,14,15,10,0,20
464,1,19,28,2,10,0,50,7,10,0,0,0,2,1,6,2,204,0,3,1,10,1,192,1,253,76,0,15,15,12,0,21
477,1,19,29,2,10,0,54,7,11,0,0,0,2,1,6,2,204,0,3,1,10,1,200,2,262,78,0,16,15,12,0,21
491,1,19,30,3,10,0,58,7,12,0,0,0,2,1,6,3,265,0,3,1,10,1,229,2,293,79,0,20,15,12,0,24
514,1,21,32,4,10,0,65,9,13,0,0,0,2,1,6,3,316,0,3,1,10,1,243,2,301,80,0,20,15,12,0,26
514,1,21,32,4,10,0,65,9,13,0,0,0,2,1,6,3,316,0,3,1,10,1,243,2,301,80,0,20,15,12,0,26
566,1,21,33,5,10,0,73,10,14,1,0,0,2,1,6,3,416,0,3,3,11,1,293,2,317,86,0,20,16,13,0,33
566,1,21,33,5,10,0,73,10,14,1,0,0,2,1,6,3,416,0,3,3,11,1,293,2,317,86,0,20,16,13,0,33
566,1,21,33,5,10,0,73,10,14,1,0,0,2,1,6,3,416,0,3,3,11,1,293,2,317,86,0,20,16,13,0,33
585,1,21,35,5,10,0,76,10,14,1,0,0,2,2,6,3,460,0,3,3,11,1,314,2,322,88,0,34,16,13,0,34
585,1,21,35,5,10,0,76,10,14,1,0,0,2,2,6,3,460,0,3,3,11,1,314,2,322,88,0,34,16,13,0,34
631,1,22,38,5,10,0,88,11,14,3,1,0,8,2,6,3,573,0,5,4,11,4,390,2,345,96,0,38,17,13,0,38
651,1,22,38,5,10,0,94,11,14,7,1,0,10,2,6,3,639,0,5,4,12,4,420,2,357,94,0,39,17,13,0,41
651,1,22,38,5,10,0,94,11,14,7,1,0,10,2,6,3,639,0,5,4,12,4,420,2,357,94,0,39,17,13,0,41
688,1,22,41,5,13,0,116,13,14,13,1,0,10,2,6,3,720,0,4,4,14,7,442,2,374,95,0,40,17,14,3,42
694,1,22,41,5,12,0,126,12,14,13,1,0,10,2,6,3,778,0,4,4,14,7,463,2,378,95,0,40,17,14,3,42
694,1,22,41,5,12,0,126,12,14,13,1,0,10,2,6,3,778,0,4,4,14,7,463,2,378,95,0,40,17,14,3,42
694,1,22,41,5,12,0,126,12,14,13,1,0,10,2,6,3,778,0,4,4,14,7,463,2,378,95,0,40,17,14,3,42
812,1,22,52,5,17,0,144,12,14,14,1,0,10,2,6,4,1027,0,5,4,14,9,621,2,389,100,1,42,18,15,3,45
812,1,22,52,5,17,0,144,12,14,14,1,0,10,2,6,4,1027,0,5,4,14,9,621,2,389,100,1,42,18,15,3,45
