date,time,total cases,deaths,recoveries,hospitalized
2020-03-15,12:13 AM,0,0,0
2020-03-17,12:00 AM,17,0,0
2020-03-18,12:00 PM,23,0,0
2020-03-18,06:00 PM,28,0,0
2020-03-19,06:00 PM,35,0,0
2020-03-20,01:00 PM,43,0,0
2020-03-21,03:00 PM,43,0,0
2020-03-22,03:00 PM,57,0,0
2020-03-23,03:11 PM,65,0,0
2020-03-24,03:00 PM,83,0,0
2020-03-25,03:24 PM,101,1,0
2020-03-26,03:07 PM,112,1,0
2020-03-27,03:00 PM,136,1,0
2020-03-28,03:00 PM,191,1,0
2020-03-29,03:00 PM,208,2,0
2020-03-30,03:00 PM,237,2,26
2020-03-31,03:00 PM,281,4,26
2020-04-01,03:00 PM,315,5,26
2020-04-02,03:00 PM,363,6,26
2020-04-03,03:00 PM,403,7,31
2020-04-04,03:00 PM,495,10,31
2020-04-05,03:00 PM,543,11,54
2020-04-06,03:00 PM,624,12,130
2020-04-07,03:00 PM,686,12,133
2020-04-08,03:00 PM,794,13,171
2020-04-09,03:00 PM,865,16,201
2020-04-10,03:00 PM,989,17,217
2020-04-11,03:17 PM,1091,19,235
2020-04-12,03:00 PM,1091,19,235
2020-04-13,03:24 PM,1245,26,295
2020-04-14,03:00 PM,1345,31,304
2020-04-15,03:00 PM,1407,36,340
2020-04-16,03:00 PM,1484,36,353
2020-04-17,03:00 PM,1597,44,353
2020-04-18,03:00 PM,1711,51,382
2020-04-19,03:00 PM,1711,51,382
2020-04-20,04:32 PM,1971,58,501,116
2020-04-21,03:37 PM,1971,58,501,116
2020-04-22,03:00 PM,2072,65,529,119
2020-04-23,03:00 PM,2072,65,529,119
2020-04-24,03:00 PM,2379,78,573,123
2020-04-25,03:00 PM,2521,84,614,152
2020-04-26,03:00 PM,2521,84,614,152
2020-04-27,03:00 PM,2726,99,614,152
2020-04-28,03:00 PM,2823,104,666,155
2020-04-29,03:00 PM,2823,104,666,155
2020-04-30,03:00 PM,2823,104,666,155
2020-05-01,03:00 PM,3411,123,760,172
2020-05-02,03:00 PM,3411,123,760,172
2020-05-03,03:00 PM,3732,139,812,168
2020-05-04,03:00 PM,3850,151,832,164
2020-05-05,03:00 PM,3850,151,832,164
2020-05-06,03:00 PM,4138,162,964,178
2020-05-07,03:00 PM,4138,162,964,178
2020-05-08,03:00 PM,4138,162,964,178
2020-05-09,03:00 PM,4673,181,1189,201
2020-05-10,05:49 PM,4673,181,1189,201
2020-05-11,03:00 PM,4863,200,1285,194
2020-05-12,03:00 PM,5069,208,1300,207
2020-05-13,03:00 PM,5069,208,1300,207
2020-05-14,03:00 PM,5364,231,1300,200
2020-05-15,03:00 PM,5503,242,1576,209
2020-05-16,03:00 PM,5662,253,1576,223
2020-05-17,03:00 PM,5662,253,1576,223
2020-05-18,03:00 PM,5662,253,1576,223
2020-05-19,03:00 PM,5662,253,1576,223
2020-05-20,03:00 PM,6192,276,1882,204
2020-05-21,03:00 PM,6317,283,1882,206
2020-05-22,03:00 PM,6472,294,2041,205
2020-05-23,03:00 PM,6472,294,2041,205
2020-05-24,03:00 PM,6472,294,2041,205
2020-05-26,03:00 PM,6472,294,2041,205
