source,target,joinNode,fixedPoint,dNode
0000,0000,00,True,0000
0001,0000,01,False,false
0002,0001,02,False,false
0010,0000,00,False,false
0011,0000,01,False,false
0012,0001,02,False,false
0020,0010,00,False,false
0021,0010,01,False,false
0022,0011,02,False,false
0100,0000,00,False,false
0101,0000,01,False,false
0102,0001,02,False,false
0110,0000,00,False,false
0111,0000,01,False,false
0112,0001,02,False,false
0120,0010,00,False,false
0121,0010,01,False,false
0122,0011,02,False,false
0200,0100,00,False,false
0201,0100,01,False,false
0202,0101,02,False,false
0210,0100,00,False,false
0211,0100,01,False,false
0212,0101,02,False,false
0220,0110,00,False,false
0221,0110,01,False,false
0222,0111,02,False,false
1000,0000,10,False,false
1001,0000,11,False,false
1002,0001,12,False,false
1010,0000,10,False,false
1011,0000,11,False,false
1012,0001,12,False,false
1020,0010,10,False,false
1021,0010,11,False,false
1022,0011,12,False,false
1100,0000,10,False,false
1101,0000,11,False,false
1102,0001,12,False,false
1110,0000,10,False,false
1111,0000,11,False,1111
1112,0001,12,False,false
1120,0010,10,False,false
1121,0010,11,False,false
1122,0011,12,False,false
1200,0100,10,False,false
1201,0100,11,False,false
1202,0101,12,False,false
1210,0100,10,False,false
1211,0100,11,False,false
1212,0101,12,False,false
1220,0110,10,False,false
1221,0110,11,False,false
1222,0111,12,False,false
2000,1000,20,False,false
2001,1000,21,False,false
2002,1001,22,False,false
2010,1000,20,False,false
2011,1000,21,False,false
2012,1001,22,False,false
2020,1010,20,False,false
2021,1010,21,False,false
2022,1011,22,False,false
2100,1000,20,False,false
2101,1000,21,False,false
2102,1001,22,False,false
2110,1000,20,False,false
2111,1000,21,False,false
2112,1001,22,False,false
2120,1010,20,False,false
2121,1010,21,False,false
2122,1011,22,False,false
2200,1100,20,False,false
2201,1100,21,False,false
2202,1101,22,False,false
2210,1100,20,False,false
2211,1100,21,False,false
2212,1101,22,False,false
2220,1110,20,False,false
2221,1110,21,False,false
2222,1111,22,False,2222
