src,tgt
0000,0000
0001,0000
0002,0001
0010,0000
0011,0000
0012,0001
0020,0010
0021,0010
0022,0011
0100,0000
0101,0000
0102,0001
0110,0000
0111,0000
0112,0001
0120,0010
0121,0010
0122,0011
0200,0100
0201,0100
0202,0101
0210,0100
0211,0100
0212,0101
0220,0110
0221,0110
0222,0111
1000,0000
1001,0000
1002,0001
1010,0000
1011,0000
1012,0001
1020,0010
1021,0010
1022,0011
1100,0000
1101,0000
1102,0001
1110,0000
1111,0000
1112,0001
1120,0010
1121,0010
1122,0011
1200,0100
1201,0100
1202,0101
1210,0100
1211,0100
1212,0101
1220,0110
1221,0110
1222,0111
2000,1000
2001,1000
2002,1001
2010,1000
2011,1000
2012,1001
2020,1010
2021,1010
2022,1011
2100,1000
2101,1000
2102,1001
2110,1000
2111,1000
2112,1001
2120,1010
2121,1010
2122,1011
2200,1100
2201,1100
2202,1101
2210,1100
2211,1100
2212,1101
2220,1110
2221,1110
2222,1111
